"subject","pointer","distance","size","time"
1,"trackpad","short","small",1141
4,"trackpad","long","small",958
1,"trackpad","long","small",1022
10,"mouse","short","medium",936
1,"trackpad","short","large",870
4,"trackpad","long","medium",778
1,"trackpad","short","small",1230
1,"trackpad","long","large",742
4,"trackpad","short","small",1106
1,"trackpad","long","medium",926
10,"mouse","diagonal","small",816
1,"trackpad","diagonal","medium",1078
4,"trackpad","diagonal","large",887
1,"trackpad","diagonal","medium",780
1,"trackpad","diagonal","medium",854
4,"trackpad","short","small",1058
1,"trackpad","long","small",1110
10,"mouse","short","medium",744
1,"trackpad","diagonal","large",790
4,"trackpad","long","medium",1032
1,"trackpad","long","small",1090
1,"trackpad","long","large",982
10,"mouse","short","small",960
1,"trackpad","short","medium",835
1,"trackpad","short","small",995
10,"mouse","short","large",816
1,"trackpad","diagonal","medium",978
1,"trackpad","long","small",1292
10,"mouse","long","large",744
1,"trackpad","short","small",1323
1,"trackpad","diagonal","small",1099
1,"trackpad","diagonal","large",860
1,"trackpad","diagonal","medium",982
1,"trackpad","long","medium",1226
1,"trackpad","diagonal","medium",820
1,"trackpad","long","large",882
1,"trackpad","short","large",1148
1,"trackpad","short","large",900
1,"trackpad","short","large",851
3,"mouse","diagonal","small",1128
3,"mouse","long","medium",1047
3,"mouse","short","small",1280
3,"mouse","long","medium",888
3,"mouse","diagonal","small",1280
3,"mouse","diagonal","large",896
3,"mouse","diagonal","large",864
3,"mouse","long","large",808
3,"mouse","diagonal","large",928
3,"mouse","short","medium",945
3,"mouse","short","small",1056
3,"mouse","long","medium",904
3,"mouse","short","large",792
3,"mouse","diagonal","small",840
3,"mouse","long","small",800
3,"mouse","short","large",848
3,"mouse","diagonal","medium",807
3,"mouse","long","small",968
3,"mouse","diagonal","large",888
3,"mouse","short","medium",943
3,"mouse","short","medium",920
3,"mouse","long","large",896
3,"mouse","short","medium",984
3,"mouse","long","medium",888
3,"mouse","diagonal","small",1136
3,"mouse","short","large",776
3,"mouse","long","small",1104
4,"trackpad","short","small",1026
4,"trackpad","diagonal","medium",813
10,"mouse","diagonal","small",816
4,"trackpad","short","large",826
4,"trackpad","long","medium",938
10,"mouse","long","small",880
4,"trackpad","long","large",776
4,"trackpad","diagonal","large",758
10,"mouse","short","medium",959
4,"trackpad","short","medium",1161
4,"trackpad","diagonal","large",794
10,"mouse","long","small",904
4,"trackpad","long","medium",1026
4,"trackpad","short","small",1940
10,"mouse","diagonal","large",720
4,"trackpad","diagonal","large",1139
4,"trackpad","diagonal","large",850
10,"mouse","long","small",832
4,"trackpad","long","small",874
4,"trackpad","diagonal","small",1145
10,"mouse","diagonal","large",768
4,"trackpad","long","small",856
4,"trackpad","diagonal","large",810
10,"mouse","diagonal","medium",848
4,"trackpad","short","large",720
4,"trackpad","short","medium",708
10,"mouse","long","medium",769
4,"trackpad","diagonal","medium",980
4,"trackpad","long","medium",827
10,"mouse","short","large",784
4,"trackpad","short","small",1072
4,"trackpad","short","small",1776
10,"mouse","long","medium",832
5,"trackpad","long","small",958
5,"trackpad","long","medium",778
10,"mouse","diagonal","medium",800
5,"trackpad","short","small",1106
5,"trackpad","diagonal","large",887
10,"mouse","long","medium",808
5,"trackpad","short","small",1058
5,"trackpad","long","medium",1032
10,"mouse","long","large",688
5,"trackpad","short","small",1026
5,"trackpad","diagonal","medium",813
10,"mouse","diagonal","small",896
5,"trackpad","short","large",826
5,"trackpad","long","medium",938
10,"mouse","short","large",696
5,"trackpad","long","large",776
5,"trackpad","diagonal","large",758
10,"mouse","diagonal","large",776
5,"trackpad","short","medium",1161
5,"trackpad","diagonal","large",794
10,"mouse","long","small",832
5,"trackpad","long","medium",1026
5,"trackpad","short","small",1940
10,"mouse","short","small",992
5,"trackpad","diagonal","large",1139
5,"trackpad","diagonal","large",850
10,"mouse","diagonal","medium",6567
5,"trackpad","long","small",874
5,"trackpad","diagonal","small",1145
10,"mouse","short","large",1089
5,"trackpad","long","small",856
5,"trackpad","diagonal","large",810
11,"mouse","long","large",1103
5,"trackpad","short","large",720
5,"trackpad","short","medium",708
11,"mouse","long","medium",961
5,"trackpad","diagonal","medium",980
5,"trackpad","long","medium",827
11,"mouse","diagonal","small",1032
5,"trackpad","short","small",1072
5,"trackpad","short","small",1776
11,"mouse","short","medium",936
5,"trackpad","short","small",2296
11,"mouse","diagonal","small",1024
11,"mouse","long","large",936
11,"mouse","diagonal","small",1056
11,"mouse","long","large",920
11,"mouse","diagonal","large",992
11,"mouse","short","large",1008
11,"mouse","long","medium",1048
11,"mouse","diagonal","medium",976
6,"trackpad","long","small",958
11,"mouse","long","large",1032
6,"trackpad","long","medium",778
6,"trackpad","short","small",1106
11,"mouse","diagonal","small",944
6,"trackpad","diagonal","large",887
6,"trackpad","short","small",1058
11,"mouse","long","medium",1007
6,"trackpad","long","medium",1032
6,"trackpad","short","small",1026
11,"mouse","diagonal","small",1000
6,"trackpad","diagonal","medium",813
6,"trackpad","short","large",826
11,"mouse","short","small",1008
6,"trackpad","long","medium",938
6,"trackpad","long","large",776
11,"mouse","short","medium",1000
6,"trackpad","diagonal","large",758
6,"trackpad","short","medium",1161
11,"mouse","long","large",912
6,"trackpad","diagonal","large",794
6,"trackpad","long","medium",1026
11,"mouse","short","medium",985
6,"trackpad","short","small",1940
6,"trackpad","diagonal","large",1139
11,"mouse","diagonal","small",1000
6,"trackpad","diagonal","large",850
6,"trackpad","long","small",874
11,"mouse","short","medium",960
6,"trackpad","diagonal","small",1145
6,"trackpad","long","small",856
11,"mouse","long","small",920
6,"trackpad","diagonal","large",810
6,"trackpad","short","large",720
11,"mouse","short","medium",1040
6,"trackpad","short","medium",708
6,"trackpad","diagonal","medium",980
11,"mouse","short","large",968
6,"trackpad","long","medium",827
6,"trackpad","short","small",1072
11,"mouse","short","large",992
6,"trackpad","short","small",1776
6,"trackpad","short","small",2296
11,"mouse","diagonal","small",960
6,"trackpad","short","small",2764
7,"trackpad","long","small",958
7,"trackpad","long","medium",778
7,"trackpad","short","small",1106
7,"trackpad","diagonal","large",887
7,"trackpad","short","small",1058
7,"trackpad","long","medium",1032
7,"trackpad","short","small",1026
7,"trackpad","diagonal","medium",813
7,"trackpad","short","large",826
7,"trackpad","long","medium",938
7,"trackpad","long","large",776
7,"trackpad","diagonal","large",758
7,"trackpad","short","medium",1161
7,"trackpad","diagonal","large",794
7,"trackpad","long","medium",1026
7,"trackpad","short","small",1940
7,"trackpad","diagonal","large",1139
7,"trackpad","diagonal","large",850
7,"trackpad","long","small",874
7,"trackpad","diagonal","small",1145
7,"trackpad","long","small",856
7,"trackpad","diagonal","large",810
7,"trackpad","short","large",720
7,"trackpad","short","medium",708
7,"trackpad","diagonal","medium",980
7,"trackpad","long","medium",827
7,"trackpad","short","small",1072
8,"trackpad","diagonal","small",1240
8,"trackpad","short","medium",1187
8,"trackpad","long","small",1053
8,"trackpad","long","large",666
8,"trackpad","long","medium",825
8,"trackpad","diagonal","large",752
8,"trackpad","long","medium",1342
8,"trackpad","short","large",816
8,"trackpad","long","large",714
8,"trackpad","long","small",1091
8,"trackpad","short","medium",1144
8,"trackpad","long","large",774
8,"trackpad","diagonal","small",961
8,"trackpad","diagonal","large",690
8,"trackpad","diagonal","large",752
8,"trackpad","diagonal","small",1123
8,"trackpad","long","small",1142
8,"trackpad","diagonal","small",1320
8,"trackpad","diagonal","medium",1195
8,"trackpad","diagonal","medium",902
8,"trackpad","short","large",840
8,"trackpad","short","medium",914
8,"trackpad","short","small",932
8,"trackpad","short","small",1073
8,"trackpad","short","medium",824
8,"trackpad","short","large",1012
8,"trackpad","long","medium",923
9,"mouse","short","small",1080
9,"mouse","diagonal","small",1032
9,"mouse","short","medium",1136
9,"mouse","long","medium",808
9,"mouse","long","large",711
9,"mouse","short","small",1025
9,"mouse","diagonal","large",848
9,"mouse","diagonal","medium",728
9,"mouse","long","small",1120
9,"mouse","long","small",968
9,"mouse","diagonal","medium",1000
9,"mouse","short","medium",864
9,"mouse","short","large",792
9,"mouse","diagonal","large",763
9,"mouse","long","large",832
9,"mouse","short","large",816
9,"mouse","diagonal","small",1000
9,"mouse","long","medium",984
9,"mouse","diagonal","large",816
9,"mouse","long","large",720
9,"mouse","short","medium",848
9,"mouse","long","small",944
9,"mouse","short","small",975
9,"mouse","long","large",544
9,"mouse","diagonal","small",1000
9,"mouse","short","medium",873
9,"mouse","diagonal","medium",1016
